Designator,Footprint,Quantity,Value,LCSC Part #
D1,LED_D5.0mm,1,Red,
J1,PinHeader_1x10,1,Conn_Left,
J2,PinHeader_1x10,1,Conn_Right,
J3,Jack_3.5mm_Vertical,1,Accent,
J4,Jack_3.5mm_Vertical,1,Trig,
J5,Jack_3.5mm_Vertical,1,CV,
J6,Jack_3.5mm_Vertical,1,OUT,
RV1,Potentiometer_Alps_RK09L_Single_Vertical,1,B10k Tone,
RV2,Potentiometer_Alps_RK09L_Single_Vertical,1,B100k Disto,
RV3,Potentiometer_Alps_RK09L_Single_Vertical,1,B10k Level,
RV4,Potentiometer_Alps_RK09L_Single_Vertical,1,B50k Tune,
RV5,Potentiometer_Alps_RK09L_Single_Vertical,1,B100k Decay,
SW1,Switch_MTS102,1,SW_Transient,
