Designator,Mid X,Mid Y,Rotation,Layer
C1,78.74,-95.25,270.0,top
C10,82.63,-49.53,0.0,top
C11,69.12,-42.545,0.0,top
C12,63.5,-59.69,270.0,top
C2,75.311,-89.455,90.0,top
C3,74.295,-95.29,270.0,top
C4,69.215,-104.14,90.0,top
C5,69.215,-107.855,270.0,top
C6,72.136,-89.495,90.0,top
C7,68.58,-69.85,90.0,top
C8,83.82,-72.37,90.0,top
C9,97.79,-49.53,180.0,top
D1,88.9,-80.645,270.0,top
D10,77.47,-53.34,180.0,top
D11,59.67,-55.88,270.0,top
D12,55.88,-68.58,90.0,top
D2,88.9,-124.46,90.0,top
D4,86.36,-93.345,90.0,top
D5,65.405,-112.395,270.0,top
D6,65.405,-100.33,270.0,top
D7,68.58,-70.485,270.0,top
D8,97.79,-53.34,270.0,top
D9,93.345,-60.96,90.0,top
J3,56.515,-107.95,0.0,top
J5,59.69,-68.58,180.0,bottom
J6,92.71,-68.58,180.0,bottom
Q1,97.79,-120.015,180.0,top
Q2,83.185,-93.97,270.0,top
Q3,92.71,-114.935,0.0,top
Q4,88.9,-93.97,270.0,top
Q5,93.345,-96.97,0.0,top
Q6,69.215,-99.06,90.0,top
Q7,63.5,-99.06,90.0,top
Q8,53.965,-97.155,0.0,top
R1,77.47,-121.92,90.0,top
R10,85.09,-109.855,90.0,top
R11,73.66,-121.92,90.0,top
R12,69.85,-114.3,270.0,top
R13,67.437,-90.17,90.0,top
R14,96.52,-109.855,90.0,top
R15,64.4144,-71.0946,270.0,top
R16,92.71,-109.855,90.0,top
R17,64.135,-82.55,270.0,top
R18,55.245,-71.12,270.0,top
R19,55.245,-82.55,270.0,top
R2,85.09,-121.92,90.0,top
R20,97.79,-83.185,90.0,top
R21,97.79,-72.39,90.0,top
R22,85.09,-53.34,270.0,top
R23,88.9,-53.34,270.0,top
R24,66.04,-45.085,90.0,top
R25,92.075,-37.465,270.0,top
R26,98.425,-45.085,90.0,top
R27,95.25,-45.085,90.0,top
R28,85.725,-37.465,270.0,top
R29,62.23,-45.085,90.0,top
R3,78.74,-82.55,270.0,top
R30,88.9,-37.465,270.0,top
R31,77.432,-39.37,180.0,top
R32,54.61,-37.465,270.0,top
R33,82.55,-37.465,270.0,top
R34,54.61,-55.88,90.0,top
R35,66.04,-48.26,270.0,top
R36,62.23,-55.88,90.0,top
R37,58.42,-48.26,270.0,top
R38,58.42,-45.085,90.0,top
R4,82.55,-90.17,90.0,top
R5,81.28,-121.92,90.0,top
R6,73.66,-102.235,270.0,top
R7,81.28,-109.855,90.0,top
R8,77.47,-102.235,270.0,top
R9,88.9,-109.855,90.0,top
U1,72.4,-62.225,0.0,top
